sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
Sheffield Health and Social Care NHS Foundation Trust,1,1,0,0,0,1,0
Sheffield Council,1,4,1,0,0,1,0
Sheffield Children’s Hospital,1,2,2,1,0,0,0
Sheffield CCG,1,2,2,1,0,0,0
Somerset NHS Trust,1,2,0,0,0,1,0
South Eastern Railways,1,2,1,0,0,1,0
South Essex Partnership Trust,1,4,3,0,1,0,0
South West Trains,1,1,0,0,0,1,0
Sphere Risk & Safety Management Ltd,1,4,1,0,0,1,0
Spectrum Community Health,1,3,0,0,0,1,0
Specsavers UK,1,1,1,1,0,0,0
Speaker’s Counsel for the attention of the Parliamentary Authorities at the Palace,1,2,7,0,0,1,0
Southern Health Foundation Trust,1,3,0,0,0,1,0
Southampton City Council,1,2,0,0,0,1,0
South Yorkshire Police HQ,1,1,1,1,0,0,0
South Yorkshire Police,1,4,1,0,0,1,0
South West and St George’s Mental Health Trust,1,2,1,0,0,1,0
South West Yorkshire Partnership,1,1,1,1,0,0,0
South West National Trust,1,1,1,1,0,0,0
South Hampshire Ambulance Service,1,3,0,0,0,1,0
NHS Stockport Clinical Commission Group,1,2,1,1,0,0,0
South Wales Trunk Road Agent,1,2,1,0,1,0,0
South Wales Fire and Rescue Service,1,1,1,1,0,0,0
South Tyneside and Sunderland NHS Trust,1,2,2,1,0,0,0
South Tyneside NHS Trust,1,5,0,0,0,1,0
South Tyneside Council,1,1,1,1,0,0,0
South Tees Hospitals NHS Foundation Trust,1,1,1,1,0,0,0
South Staffordshire and Shropshire Healthcare NHS Trust,1,2,2,1,0,0,0
South London and Maudsley NHS trust,1,1,1,1,0,0,0
South London Islamic Centre,1,2,1,0,1,0,0
Shawe Lodge,1,1,1,1,0,0,0
Services for Children,1,7,0,0,0,1,0
Spire Bristol Hospital,1,1,2,1,0,0,0
Serco House,1,4,0,0,0,1,0
S & J Transport,1,4,2,0,0,1,0
Russell Hall Hospital,1,2,0,0,0,1,0
Rushcliffe Care,1,3,0,0,0,1,0
Rushcliffe,1,7,2,0,1,0,0
Rush Green Medical Centre,1,1,0,0,0,1,0
Rugby Football Union ,1,1,1,1,0,0,0
Rt Hon Grant Shapps MP,1,1,0,0,0,1,0
Royton & Crompton Family Practice,1,4,0,0,0,1,0
Royal Yachting Association,1,2,2,1,0,0,0
Royal Wolverhampton NHS Trust,1,1,1,1,0,0,0
Royal United Hospital Bath,1,2,1,0,0,1,0
Royal Sussex County Hospital,1,1,1,1,0,0,0
Royal Surrey County Hospital NHS Trust,1,1,0,0,0,1,0
Royal Surrey County Hospital,1,5,2,0,1,0,0
Royal Orthopeadic Hospital,1,1,1,1,0,0,0
Royal Manchester Children’s Hospital,1,3,0,0,0,1,0
Royal Life Saving Society UK,1,1,1,1,0,0,0
Royal Institute of British Architects,1,2,1,0,0,1,0
Royal Hampshire County Hospital,1,2,0,0,0,1,0
Royal Hallamshire Hospital,1,4,0,0,0,1,0
Royal Gwent Hospital,1,4,2,0,1,0,0
Royal Docks Medical Practice,1,2,1,0,1,0,0
Royal Devon University Healthcare Foundation Trust,1,1,0,0,0,1,0
SATH,1,2,2,1,0,0,0
SC Johnson and Son,1,1,1,1,0,0,0
SE Galvanisers,1,2,0,0,0,1,0
Sandwell Local Authority,1,1,1,1,0,0,0
Serco,1,3,0,0,0,1,0
Senior Highway Engineer for Surrey,1,1,0,0,0,1,0
Select Healthcare,1,1,0,0,0,1,0
Secretary for State for Health,1,2,1,0,1,0,0
Secretary for Communities and Local Government,1,2,2,1,0,0,0
Seaton and Colyton Medical Practice,1,2,2,1,0,0,0
Scottish Cycling,1,3,1,0,1,0,0
Scotia Gas Network,1,4,0,0,0,1,0
Scania,1,4,2,0,0,1,0
Sapphire House,1,2,1,0,0,1,0
Sandwell Hospital and West Birmingham Hospital NHS Trust,1,1,1,1,0,0,0
SHSC,1,1,1,1,0,0,0
Sandwell Council,1,2,2,1,0,0,0
Sandwell Borough Council,1,2,1,0,0,1,0
Salford Royal Hospital NHS Trust,1,3,1,0,0,1,0
Salford Royal Foundation Trust,1,1,1,1,0,0,0
Sainsburys PLC,1,2,0,0,0,1,0
Saffronland Homes limited,1,3,2,0,0,1,0
Safety Assessment Federation,1,4,2,0,0,1,0
Safehands Ltd,1,1,0,0,0,1,0
SW Yorks NHS Trust,1,3,1,0,0,1,0
SMA Medical Practice,1,2,0,0,0,1,0
Spire,1,3,0,0,0,1,0
Spire Harpenden Hospital,1,1,2,1,0,0,0
The Droylsden Road Family GP Practice,1,2,2,1,0,0,0
Swanage Medical Practice,1,1,1,1,0,0,0
The Alexandra Court Care Home,1,1,1,1,0,0,0
The AACE,1,5,5,1,0,0,0
Thameside Prison,1,3,1,0,0,1,0
Thames Water,1,3,3,1,0,0,0
Thames Valley and Wessex Operational Delivery Networks,1,1,0,0,0,1,0
Teva UK Ltd,1,1,1,1,0,0,0
Tettenhall Medical Practice,1,1,1,1,0,0,0
Tesco Store PLC,1,1,0,0,0,1,0
Tesco PLC,1,2,2,1,0,0,0
Templemore Care Home,1,2,0,0,0,1,0
Teesside University Hospitals,1,7,0,0,0,1,0
Taunton Deane District Council,1,1,0,0,0,1,0
Tanglewood Cloverleaf Care Home,1,1,1,1,0,0,0
Tameside General Hospital NHS Trust,1,1,0,0,0,1,0
Tameside Council,1,4,2,0,0,1,0
Tameside Clinical Commissioning Group,1,1,1,1,0,0,0
Tameside Borough Council,1,2,1,0,1,0,0
Tadworth Grove Care Home,1,2,0,0,0,1,0
TRU,1,1,1,1,0,0,0
TPP LTD,1,1,0,0,0,1,0
TLC Nursing and Care,1,1,1,1,0,0,0
SystemOne TPP Ltd,1,2,0,0,0,1,0
Sydenham Green Group General Practice,1,4,3,0,1,0,0
The Alexandra Hospital,1,5,0,0,0,1,0
"The Asset, Policy and Commissioning Manager",1,1,1,1,0,0,0
The Association of Conservative Clubs LTD,1,1,0,0,0,1,0
The Chief Executive of National Highways,1,1,1,1,0,0,0
The Driver Vehicle Standards Agency,1,2,2,1,0,0,0
The Director General of the Security Service,1,9,5,0,1,0,0
The Difficult Airway Society,1,4,3,0,1,0,0
The Dalmeny Hotal,1,1,1,1,0,0,0
The Crossing Project,1,1,0,0,0,1,0
The Council of Hunting,1,2,1,0,0,1,0
The Cotswold Hunt,1,2,1,0,0,1,0
The Commissioner of City of London Police,1,9,5,0,1,0,0
The Children’s Guardian,1,7,0,0,0,1,0
The Chief of the Secret Intelligence Service,1,9,5,0,1,0,0
The Castle Rock Group,1,2,2,1,0,0,0
The Avenues Trust Group,1,1,0,0,0,1,0
The British Vehicle Rental and Leasing Association,1,9,5,0,1,0,0
The British Obesity and Metabolic Surgery Society,1,1,0,0,0,1,0
The British National Formulary,1,2,0,0,0,1,0
The British Heart Foundation,1,3,2,0,1,0,0
The British Hang Gliding and Paragliding Association Ltd,1,1,1,1,0,0,0
The Brewery,1,1,0,0,0,1,0
The Borchardt Medical Centre,1,2,1,0,0,1,0
The Black Country Family Practice,1,1,0,0,0,1,0
The Bexley Medical Group,1,1,1,1,0,0,0
The Beaufort Road Surgery,1,1,0,0,0,1,0
Swiss Cottage Special School,1,1,1,1,0,0,0
Sutton and Merton Community Services,1,7,0,0,0,1,0
Spire Healthcare Limited,1,1,0,0,0,1,0
Sutton Local Safeguarding Children’s Board,1,7,0,0,0,1,0
Stamford Quarter Shopping Centre,1,1,0,0,0,1,0
Staffordshire Police,1,1,1,1,0,0,0
Staffordshire CCG,1,1,1,1,0,0,0
Stafford and Surrounds Clinical Commissioning Group,1,2,1,0,0,1,0
St Thomas NHS Foundation Trust,1,1,1,1,0,0,0
St Thomas Hospital,1,1,1,1,0,0,0
St Mary’s Hospital NHS Trust,1,1,0,0,0,1,0
St Mary’s Health Centre,1,2,2,1,0,0,0
St Marien Hospital Trust,1,1,0,0,0,1,0
St Lukes Primary Care Centre,1,1,0,0,0,1,0
"St John’s College, Oxford University",1,1,1,1,0,0,0
St John's Nursing Home,1,2,2,1,0,0,0
St Helens Clinical Commissioning Group,1,2,1,0,1,0,0
St Giles Nursing Home,1,1,1,1,0,0,0
St Giles Care Home,1,2,1,0,0,1,0
St George’s Mental NHS Trust,1,3,3,1,0,0,0
St Charles Hospital,1,2,2,1,0,0,0
St Chads Medical Practice,1,4,1,0,0,1,0
St Andrew’s Healthcare,1,3,0,0,0,1,0
Square Sail,1,1,0,0,0,1,0
Springfield Hospital,1,3,0,0,0,1,0
Springfield Health Care Services,1,2,1,0,0,1,0
Sports Camp Tirol,1,1,1,1,0,0,0
StockXS Limited,1,3,1,0,0,1,0
Stockport Council,1,1,1,1,0,0,0
Stockport Integrated Care Partnership,1,1,0,0,0,1,0
Surrey Constabulary,1,2,2,1,0,0,0
Sustrans,1,1,1,1,0,0,0
Sustainable Improvement Team NHS England,1,4,0,0,0,1,0
Sussex Partnership Trust,1,1,0,0,0,1,0
Sussex Partnership Foundation NHS Trust,1,2,1,0,1,0,0
Sussex Community NHS Foundation Trust,1,1,1,1,0,0,0
Suspension Bridge Trustees,1,1,1,1,0,0,0
Surrey and Borders Partnership,1,1,1,1,0,0,0
Surrey and Borders NHS Partnership Trust,1,4,0,0,0,0,1
Surrey Local Highways Services Group Manager,1,1,1,1,0,0,0
Surrey Downs Clinical Commissioning Group,1,5,3,0,1,0,0
Surface Transport Transport for London,1,3,1,0,0,1,0
Stockport Metropolitan Borough Council,1,1,0,0,0,1,0
Sunrise Care Home,1,1,0,0,0,1,0
Sunnyside Nursing Home,1,2,2,1,0,0,0
Suicide (from 2015),1,3,0,0,0,1,0
Suffolk Safeguarding Partnership,1,2,2,1,0,0,0
Suffolk Highways,1,2,2,1,0,0,0
SubCPartner,1,1,0,0,0,1,0
Stretton Medical Centre,1,1,0,0,0,0,1
Stoneham Bass,1,1,1,1,0,0,0
Stonefield Street Surgery,1,1,1,1,0,0,0
Stone Federation of GB,1,2,0,0,0,1,0
NHS Suffolk,1,1,0,0,0,1,0
Long Furlong Medical Centre,1,1,0,0,0,1,0
NHS Southern Derbyshire CCG,1,2,0,0,0,1,0
Chief Inspector of Prisons,1,4,1,0,0,1,0
Churchers Solicitors,1,1,0,0,0,1,0
Church of England,1,2,2,1,0,0,0
Church Lane Surgery,1,2,0,0,0,1,0
Church Inn,1,1,0,0,0,1,0
Christian Congregation of Jehova’s Witnesses,1,1,1,1,0,0,0
Choice Support,1,1,0,0,0,0,1
Chippenham Community Hospital,1,3,0,0,0,1,0
Chilton Care Centre,1,1,0,0,0,1,0
"Children’s Services, Haringey Council",1,1,0,0,0,1,0
Child and Adolescent Mental Health Service East Cross Street Clinic,1,2,0,0,0,1,0
Chief Probation Officer for England and Wales,1,4,0,0,0,1,0
Chief Medical Officer for Wales,1,1,0,0,0,1,0
Chief Fire and Rescue Officer,1,1,1,1,0,0,0
CWM Taff Health Board,1,3,2,0,0,1,0
Chief Fire Officer,1,1,0,0,0,1,0
Chief Coroner of England and Wales,1,2,1,0,0,1,0
Chief Constable of Warwickshire Police,1,1,1,1,0,0,0
Chief Constable of Lincolnshire,1,1,1,1,0,0,0
Chief Constable,1,2,0,0,0,1,0
Chester Hospital NHS Trust,1,2,0,0,1,0,0
Cheshire and Wirral Partnership NHS Foundation Trust,1,1,1,1,0,0,0
Cheshire and Merseyside Integrated Care Board,1,14,0,0,0,0,1
Cheshire West and Chester Council,1,1,0,0,0,1,0
Cheshire Police,1,3,0,0,0,1,0
Cheshire Fire and Rescue,1,4,0,0,0,1,0
Cheshire Council,1,2,0,0,0,1,0
City Hospitals Sunderland NHS Foundation Trust,1,1,1,1,0,0,0
City and County Healthcare Group,1,2,2,1,0,0,0
City of Bradford Metropolitan District Council,1,1,0,0,0,1,0
Clacton Community Practices,1,1,0,0,0,1,0
Consultant Psychiatrist Keats House London,1,2,1,0,1,0,0
Consular Feedback Team,1,1,0,0,0,1,0
Construction Plant Hire Association,1,2,1,0,0,1,0
Construction Industry Council,1,1,1,1,0,0,0
Constable of Lincolnshire,1,1,0,0,0,1,0
Connectivity and Environment,1,1,1,1,0,0,0
Compton Lodge Care Home,1,3,3,1,0,0,0
Compliance Manager,1,2,0,0,0,1,0
Community Nurse Locality Team Lead,1,1,0,0,0,1,0
Commissioning and Operations Centra Midlands NHS,1,3,2,0,0,1,0
Commissioning Manager Drug and Alcohol Action Team,1,2,2,1,0,0,0
Commissioner for Highways,1,1,2,0,0,1,0
Comish Way Group Practise,1,1,1,1,0,0,0
Comfort Call Limited,1,1,1,1,0,0,0
Collingwood Nursing Home,1,1,0,0,0,1,0
College and Society of Radiographers,1,3,2,0,1,0,0
Cole Valley Care Ltd,1,1,1,1,0,0,0
Cole Valley Care Limited,1,1,1,1,0,0,0
Coed Duon Care Home,1,1,1,1,0,0,0
Clinisys UK,1,4,0,0,0,1,0
Clifton Court Nursing Home,1,1,1,1,0,0,0
Clevermed Limited,1,1,0,0,0,1,0
Clevedon Medical Centre,1,1,0,0,0,1,0
Cleric,1,1,0,0,0,1,0
Clarion Housing Group,1,1,1,1,0,0,0
Cherry Orchard Nursing Home,1,1,0,0,0,1,0
Cherish Home Care,1,1,1,1,0,0,0
Chemical Business Association,1,3,0,0,0,1,0
Care Quality Commission CQC,1,2,2,1,0,0,0
Care Inspectorate Wales,1,3,1,0,0,1,0
Care Inn Limited,1,3,1,0,0,1,0
Care First Homes,1,1,0,0,0,1,0
Care First Class UK Limited,1,2,2,1,0,0,0
Care Agency,1,2,2,1,0,0,0
Cardiff and Vale NHS Trust,1,1,1,1,0,0,0
Cardiff Council,1,1,0,0,0,1,0
Cardiff City Council,1,2,2,1,0,0,0
Capital Karts Trading Ltd,1,1,1,1,0,0,0
Capita PLC,1,4,0,0,0,1,0
Cancer Alliance,1,1,0,0,0,1,0
Canary Wharf Group PLC,1,1,1,1,0,0,0
Canal Trust Bath,1,3,0,0,0,1,0
Canal River Trust,1,1,0,0,0,1,0
Camino Healthcare,1,4,2,0,1,0,0
Camden Council,1,2,1,0,1,0,0
Cambridgeshire and Peterborough Clinical Commissioning Group,1,4,0,0,0,1,0
Cambridgeshire Peterborough Integrated Care System,1,3,0,0,0,0,1
Cambridgeshire Constabulary,1,4,1,0,0,1,0
Cambridge County Council,1,2,0,0,0,1,0
Cambian Group,1,1,1,1,0,0,0
Calderdale Royal Hospital,1,1,0,0,0,1,0
Calderdale Metropolitan Borough Council,1,1,1,1,0,0,0
Calderdale Council Highways Department,1,1,0,0,0,1,0
Cadent Gas Ltd,1,4,0,0,0,1,0
Care Outlook Ltd,1,1,1,1,0,0,0
Carewatch,1,1,0,0,0,1,0
Chelsea and Westminster Hospitals NHS Trust,1,1,0,0,0,1,0
Careworld London Limited,1,2,2,1,0,0,0
Chelsea and Westminster Hospital,1,2,0,0,0,1,0
Chelsea & Westminster Hospital,1,1,1,1,0,0,0
Chartered Institution of Waste Management,1,4,4,1,0,0,0
Charing Healthcare,1,1,1,1,0,0,0
Change Grow Live,1,2,0,0,0,1,0
Change Glow Live,1,3,1,0,0,1,0
Chair of Association of Ambulance Chief Executives,1,4,0,0,0,1,0
Ceredigion County Council,1,2,2,1,0,0,0
Central and North West London Mental Health Trust,1,3,0,0,0,1,0
Central Surgery,1,1,1,1,0,0,0
Central Northwest London NHS Foundation Trust,1,1,0,0,0,1,0
Central Medical Services,1,1,0,0,0,1,0
Central Manchester University Hospitals,1,3,2,0,1,0,0
Central Manchester NHS Trust,1,1,0,0,0,1,0
Central London Community Healthcare NHS Trust,1,1,1,1,0,0,0
Central England Co-operative,1,2,0,0,0,1,0
Cedar Care Home,1,2,1,0,0,1,0
Catholic Standards Safeguarding Agency,1,2,2,1,0,0,0
Caterlink,1,4,2,0,1,0,0
Castle Rock Group,1,2,0,0,0,0,1
Carralejo Fuerteventura,1,1,0,0,0,1,0
Carlton House Rest Home,1,2,0,0,0,1,0
Carlsberg Supply Co Ltd,1,1,1,1,0,0,0
Caring Homes Healthcare Group Limited,1,2,1,0,0,1,0
Carillion,1,2,3,0,1,0,0
Conway County Council,1,5,1,0,0,1,0
Cornwall Council Local Adult Safeguarding Board,1,1,0,0,0,1,0
Cornwall County Council,1,1,0,0,0,1,0
Dorset Healthcare University Hospital NHS Trust,1,1,1,1,0,0,0
Dorset County Hospital,1,1,1,1,0,0,0
Dorset County Council,1,1,1,1,0,0,0
Dorset Council Highways Department,1,1,1,1,0,0,0
Dorset Clinical Commissioning Group,1,2,2,1,0,0,0
Dorset CCG,1,2,2,1,0,0,0
Donneybrook Medical Centre,1,1,2,1,0,0,0
Doncaster and Bassetlaw Teaching Hospitals NHS Trust,1,1,1,1,0,0,0
Doncaster Highways Services,1,1,1,1,0,0,0
Doncaster County Council,1,1,1,1,0,0,0
Doncaster Bassetlaw Teaching Hospital,1,2,0,0,0,1,0
Divine Health Services,1,3,0,0,0,1,0
Dispensing Doctors Association,1,2,0,0,0,1,0
Disclosure and Barring Service,1,1,1,1,0,0,0
Director of Housing,1,2,1,0,0,1,0
Diprobase Bayer Public Limited,1,7,3,0,1,0,0
Diocese of Westminster,1,2,0,0,0,1,0
Dinnington Group Practice,1,2,0,0,0,1,0
Digsafe Suction Excavations Limited,1,2,1,0,0,1,0
Digital,1,2,0,0,0,1,0
Devon and Cornwall Police Adult Safeguarding Team,1,3,2,0,0,1,0
Devon NHS Integrated Care Commission,1,1,1,1,0,0,0
Devon Local Medical Committee,1,2,1,0,0,1,0
Devon Local Medical Centre,1,5,4,0,1,0,0
Devon Highways,1,1,1,1,0,0,0
Devon County Council – Adult Social Care,1,1,0,0,0,1,0
Dorset Health Care University,1,3,1,0,1,0,0
Dorset University NHS Trust,1,1,0,0,0,1,0
Derbyshire County Council,1,1,0,0,0,1,0
Downham Grange Care Home,1,1,1,1,0,0,0
Edgware Community Hospital,1,1,0,0,0,1,0
Edgeley Medical Centre,1,1,1,1,0,0,0
Edge Hill Residential Home,1,4,0,0,0,1,0
Eden Park Surgery,1,1,0,0,0,1,0
Eastgate Residential Care Homes,1,1,1,1,0,0,0
East Sussex Health Care NHS Trust,1,2,1,0,0,1,0
East Surrey Hospital,1,4,3,0,1,0,0
East Suffolk and North Essex NHS Foundation Trust,1,1,1,1,0,0,0
East Leicestershire and Rutland Clinical Commissioning Group,1,2,1,0,1,0,0
East Leicester CCG,1,2,1,0,0,1,0
East Lancashire NHS Trust,1,1,1,1,0,0,0
East Kent University Hospitals,1,3,0,0,0,1,0
East Kent University Hospital NHS Trust,1,2,2,1,0,0,0
East Kent Hospital Foundation Trust,1,1,0,0,0,1,0
Each Step Nursing Home,1,1,1,1,0,0,0
EURO-EKO,1,3,1,0,0,1,0
ENT,1,2,1,0,0,1,0
EKO-INVEST,1,3,1,0,0,1,0
EFAS,1,3,1,0,1,0,0
EAM Care Group,1,1,1,1,0,0,0
Durham County Council Highways Section,1,1,0,0,0,1,0
Dulwich Dive Club,1,2,2,1,0,0,0
Drug Alcohol Action Team Cornwall Council,1,3,1,0,0,1,0
Drayton Manor Theme Park,1,2,0,0,0,1,0
Drager,1,2,2,1,0,0,0
Derwent Students,1,1,1,1,0,0,0
Derbyshire Constabulary,1,2,0,0,0,0,1
Cornwall Health,1,3,3,1,0,0,0
Cumbria NHS Trust,1,1,1,1,0,0,0
Cumbria County Council Highways Department,1,1,2,0,0,1,0
Cumbria Constabulary,1,14,0,0,0,0,1
Cumberland Council,1,1,1,1,0,0,0
Cuerden care Homes,1,1,0,0,0,1,0
Crystal Care Limited,1,2,1,0,0,1,0
Croydon University Hospital and NHS Trust,1,1,0,0,0,1,0
Croydon Health Services NHS Trust,1,1,1,1,0,0,0
Croydon Health Service,1,3,3,1,0,0,0
Croydon County Council,1,4,0,0,0,1,0
Croydon CCG,1,3,3,1,0,0,0
Crown Care,1,1,0,0,0,1,0
Crossroads House Care Home,1,1,1,1,0,0,0
Cross City CCG,1,5,0,0,0,1,0
Crime Policing and Fire Service,1,3,2,0,1,0,0
Cricket Green Medical Practice,1,3,3,1,0,0,0
Creative Support Limited,1,1,0,0,0,1,0
Coxbench Hall Residential Home,1,1,1,1,0,0,0
Cowes Week Limited,1,3,1,0,1,0,0
Covid-19 Pandemic Response Service,1,2,1,0,0,1,0
Coventry University,1,1,1,1,0,0,0
Coventry NHS Trust,1,1,0,0,0,1,0
County Durham and Darlington NHS Trust Grosvenor Park Care Home,1,2,2,1,0,0,0
County Durham and Darlington NHS Foundation Trust,1,1,0,0,0,1,0
Countrywide Care Homes,1,2,1,0,0,1,0
Cornwall Partnershipship NHS Trust,1,1,1,1,0,0,0
Cumbria County Council  ,1,1,4,0,0,1,0
Cwm Taff University Hospital Health Board,1,1,1,1,0,0,0
Derbyshire Community Health Services,1,2,0,0,0,1,0
Cygnet Health Care,1,2,1,0,1,0,0
Derby and Burton NHS Foundation Trust,1,2,1,1,0,0,0
Depaul UK,1,1,0,0,0,0,1
Department of Work and Pensions,1,1,1,1,0,0,0
Department of State for Social Care,1,2,2,1,0,0,0
"Department of Housing, Communities & Local Government",1,1,2,0,0,1,0
Department of Health NHS England,1,3,3,1,0,0,0
Department fr Health,1,6,5,0,1,0,0
Department for the Environment Food and Rural Affairs,1,4,2,0,0,1,0
"Department for Levelling Up, Housing and Communities",1,1,1,1,0,0,0
Department for Housing,1,2,0,0,0,1,0
"Department for Foreign, Commonwealth and Development Affairs",1,1,1,1,0,0,0
Department for Community and Local Government,1,5,2,0,0,1,0
"Department for Business, Energy and Industrial Strategy",1,1,1,1,0,0,0
Denton Medical Centre,1,1,0,0,0,1,0
Delamere Medical Practice,1,1,1,1,0,0,0
David Ake & Co Solicitors,1,1,1,1,0,0,0
Darwin medical Practice,1,3,3,1,0,0,0
Dartford and Gravesend NHS Trust,1,1,0,0,0,1,0
Darlington Cattle Mart,1,1,0,0,0,1,0
Dairy Lane Care Centre,1,1,0,0,0,1,0
DW Fitness First,1,2,0,0,0,1,0
DVLA Medical Branch,1,2,1,0,1,0,0
DHL Supply Chain UKI,1,1,1,1,0,0,0
DD Dodds and Son Ltd,1,2,1,0,0,1,0
DAF Trucks Ltd,1,4,4,1,0,0,0
CWM Taff University Board,1,1,1,1,0,0,0
CSS Telecare Service,1,3,0,0,0,1,0
NHS Professionals Ltd,1,2,2,1,0,0,0
Ashford and St Peter’s Hospital NHS Trust,1,1,1,1,0,0,0
Avery Healthcare,1,2,1,0,1,0,0
Avenue House Nursing and Care Home,1,4,1,0,0,1,0
Audlem Medical Practice,1,1,1,1,0,0,0
Atrumed Ltd,1,2,2,1,0,0,0
Athena Care Homes (UK) Limited,1,2,0,0,0,1,0
Association of Police Officers,1,3,2,0,1,0,0
Association of Anaesthetists,1,5,0,0,0,0,1
Association of Ambulance,1,3,2,0,1,0,0
Ashley Gardens Care Centre,1,1,0,0,0,1,0
Ashgate House Nursing Home,1,2,0,0,0,1,0
Ashford and St Peter’s Hospitals NHS Trust,1,1,0,0,0,1,0
Ashford and St Peter’s Hospital Trust,1,1,1,1,0,0,0
Ashford and St Peter Hospital,1,3,1,0,0,1,0
CRG Lead Commissioner,1,2,1,0,0,1,0
Ashford Borough Council,1,2,0,0,0,1,0
Ashfield Surgery Sutton Coldfield,1,4,4,1,0,0,0
Army Headquarters,1,1,1,1,0,0,0
Arjo Huntliegh,1,9,5,0,1,0,0
Arden Court Nursing Home,1,1,1,1,0,0,0
Arboricultural Association,1,3,3,1,0,0,0
Aran Court Care Centre,1,5,5,1,0,0,0
Apple,1,1,0,0,0,1,0
Antron Manor Care Home,1,1,1,1,0,0,0
Anglian Community Enterprise,1,1,0,0,0,1,0
Angel Solutions UK Limited,1,1,0,0,0,1,0
Aneurin University Health Board,1,2,1,0,0,1,0
Avon & Wiltshire Mental Health Partnership NHS Trust,1,3,0,0,0,1,0
Avon Care Home Limited,1,1,1,1,0,0,0
Avon and Somerset Constabulary,1,2,0,0,0,1,0
Avon and Somerset Police,1,6,2,0,1,0,0
Barts Health Trust,1,1,0,0,0,1,0
Barts Health,1,1,1,1,0,0,0
Baroness Vere of Norbiton,1,2,1,0,1,0,0
Barnsley Hospital NHS Trust,1,2,1,0,1,0,0
Barnet Council,1,1,1,1,0,0,0
"Barking, Havering and Redbridge University Hospital",1,1,0,0,0,1,0
"Barking, Havering & Redbridge University Hospitals NHS Trust",1,1,0,0,0,1,0
Barchester Homes,1,1,1,1,0,0,0
Bannatyne Group,1,1,1,1,0,0,0
Banes Highways,1,3,0,0,0,1,0
Banes CCG,1,2,1,0,0,1,0
Bampton Surgery,1,1,1,1,0,0,0
Balfour Beatty Route Manager,1,2,0,0,0,1,0
Balfour Beatty Living Places,1,2,2,1,0,0,0
Bailey Trailers Ltd,1,1,1,1,0,0,0
BUPA UK,1,1,1,1,0,0,0
BUPA,1,3,0,0,0,1,0
BTP Fatal Investigations Officer,1,2,1,0,0,1,0
BMI The Shelburne Hospital,1,1,1,1,0,0,0
BMI Hospitals,1,5,2,0,1,0,0
BMI Health Care,1,1,0,0,0,1,0
BLMK Integrated Care Board,1,3,0,0,0,1,0
BEIS,1,4,3,0,1,0,0
B & D Civil Engineering Limited,1,2,2,1,0,0,0
Avon and Wiltshire NHS Trust,1,1,1,1,0,0,0
Amphenol Thermometrics UK Ltd,1,1,0,0,0,1,0
Amgen Limited,1,3,0,0,0,1,0
Amey PLC,1,4,1,0,0,1,0
Adbolton Hall Nursing Home,1,1,1,1,0,0,0
"Acute Mental Health Services, West London NHS Trust",1,1,0,0,0,1,0
Acorn Lodge Care Home,1,1,0,0,0,1,0
Acis Housing,1,1,0,0,0,1,0
Able Care and Support Services Ltd,1,1,1,1,0,0,0
Abbotsbury Elderly Persons Home,1,1,0,0,0,1,0
Abbeyfields the Dales Ltd,1,2,2,1,0,0,0
Abbey Wood Lodge Care Home,1,1,0,0,0,0,1
Abbey Court Independent Hospital,1,1,0,0,0,1,0
AR1 Homecare Limited,1,1,1,1,0,0,0
AGD Equipment Limited,1,2,1,0,0,1,0
ADS,1,1,1,1,0,0,0
ADL PLC,1,2,1,0,0,1,0
ADAPT,1,2,1,0,1,0,0
ACPO,1,2,1,0,1,0,0
ABTA – The Travel Association,1,2,0,0,0,1,0
ABTA,1,4,0,0,0,1,0
AACE’s National Directors of Operations Group,1,4,1,0,0,1,0
A2Dominion of The Point,1,1,1,1,0,0,0
A ONE+,1,3,0,0,0,1,0
A J Way & Co Ltd,1,3,1,0,0,1,0
999 Liaison Committee,1,3,1,0,0,1,0
5 Boroughs Partnership NHS Foundation Trust Warrington,1,2,2,1,0,0,0
5 Boroughs NHS Foundation Trust,1,1,1,1,0,0,0
"3D Trans, Health and Safety Executive",1,1,0,0,0,1,0
1st For Health International,1,3,1,0,0,1,0
Adams Pharmacy,1,1,0,0,0,1,0
Addaction,1,2,2,1,0,0,0
Ambulance Service NHS Trust,1,5,0,0,0,0,1
Addcounsel,1,1,1,1,0,0,0
Ambulance Association,1,2,1,0,0,1,0
Amberley Hall Care Home,1,2,0,0,0,1,0
Ambassador House Care Home,1,1,1,1,0,0,0
Amazon,1,8,0,0,0,0,1
Alvaston Medical Centre,1,1,1,1,0,0,0
Alliance Pharmaceutical,1,7,3,0,1,0,0
Alexandra View Care Home,1,1,1,1,0,0,0
Alexandra Palace,1,3,3,1,0,0,0
Alexander House Health Centre,1,1,0,1,0,0,0
Alexander Court Care Central,1,1,1,1,0,0,0
Alex Chalk MP – Ministry of Justice,1,1,0,0,0,1,0
"Alcohol, drugs medication related death",1,3,0,0,0,1,0
Al Hijrah School,1,4,2,0,1,0,0
Airedale NHS Trust,1,1,2,0,0,1,0
Air Balloon Surgery,1,2,1,0,1,0,0
Agrade Community Care Services,1,1,0,0,0,1,0
Advinia Healthcare Ltd,1,2,1,0,0,1,0
Advanced Health & Care Ltd,1,12,9,0,1,0,0
